sparql,owl
"SELECT ?disease WHERE { ?disease <http://www.w3.org/2004/02/skos/core#subject> <http://dbpedia.org/resource/Category:Diseases_and_disorders> ; <http://dbpedia.org/property/meshname> "Asthma"@en } ","(Thing THAT ( http://www.w3.org/2004/02/skos/core#subject SOME http://dbpedia.org/resource/Category:Diseases_and_disorders )) AND (Thing THAT ( http://dbpedia.org/property/meshname SOME "Asthma"@en ))"
"SELECT ?s ?abstract WHERE { <http://dbpedia.org/resource/Knut_Hamsun> <http://dbpedia.org/ontology/abstract> ?abstract . ?s ?p ?abstract } ","ObjectProperty: http://dbpedia.org/ontology/abstractInverse 
   inverseOf http://dbpedia.org/ontology/abstract
(Thing THAT (topProperty SOME ((Thing THAT (http://dbpedia.org/ontology/abstractInverse SOME http://dbpedia.org/resource/Knut_Hamsun)))))"
"SELECT ?s WHERE { <http://dbpedia.org/resource/Bogorodsk%2C_Nizhny_Novgorod_Oblast> a ?s } ","ObjectProperty: http://www.w3.org/1999/02/22-rdf-syntax-ns#typeInverse 
   inverseOf http://www.w3.org/1999/02/22-rdf-syntax-ns#type
(Thing THAT (http://www.w3.org/1999/02/22-rdf-syntax-ns#typeInverse SOME http://dbpedia.org/resource/Bogorodsk%2C_Nizhny_Novgorod_Oblast))"
"SELECT * WHERE { <http://dbpedia.org/resource/United_States> a <http://dbpedia.org/ontology/Country> ; ?p ?o } ","((topProperty SOME Thing))"
"SELECT ?cat ?cat1 ?sub WHERE { ?cat <http://www.w3.org/2004/02/skos/core#broader> <http://dbpedia.org/resource/Category:Palaces_in_France> . ?sub <http://www.w3.org/2004/02/skos/core#subject> ?cat } ","ObjectProperty: http://www.w3.org/2004/02/skos/core#subjectInverse 
   inverseOf http://www.w3.org/2004/02/skos/core#subject
(Thing THAT ( http://www.w3.org/2004/02/skos/core#broader SOME http://dbpedia.org/resource/Category:Palaces_in_France )) AND (Thing THAT (http://www.w3.org/2004/02/skos/core#subjectInverse SOME Thing))"
"SELECT ?s WHERE { ?s <http://www.w3.org/2000/01/rdf-schema#label> "Whiskey"@en } ","(Thing THAT ( http://www.w3.org/2000/01/rdf-schema#label SOME "Whiskey"@en ))"
"SELECT ?m WHERE { ?s <http://www.w3.org/2004/02/skos/core#subject> <http://dbpedia.org/resource/Category:Pablo_Picasso_paintings> ; <http://dbpedia.org/property/museum> ?m } ","ObjectProperty: http://dbpedia.org/property/museumInverse 
   inverseOf http://dbpedia.org/property/museum
(Thing THAT (http://dbpedia.org/property/museumInverse SOME ((Thing THAT ( http://www.w3.org/2004/02/skos/core#subject SOME http://dbpedia.org/resource/Category:Pablo_Picasso_paintings )))))"
"SELECT ?s WHERE { <http://dbpedia.org/resource/Kholm%2C_Kholmsky_District%2C_Novgorod_Oblast> a ?s } ","ObjectProperty: http://www.w3.org/1999/02/22-rdf-syntax-ns#typeInverse 
   inverseOf http://www.w3.org/1999/02/22-rdf-syntax-ns#type
(Thing THAT (http://www.w3.org/1999/02/22-rdf-syntax-ns#typeInverse SOME http://dbpedia.org/resource/Kholm%2C_Kholmsky_District%2C_Novgorod_Oblast))"
"SELECT ?name WHERE { ?name a <http://dbpedia.org/ontology/MusicalArtist> } ","(Thing THAT ( http://www.w3.org/1999/02/22-rdf-syntax-ns#type SOME http://dbpedia.org/ontology/MusicalArtist ))"
"SELECT ?n WHERE { ?x <http://xmlns.com/foaf/0.1/name> ?n } ","ObjectProperty: http://xmlns.com/foaf/0.1/nameInverse 
   inverseOf http://xmlns.com/foaf/0.1/name
(Thing THAT (http://xmlns.com/foaf/0.1/nameInverse SOME Thing))"
"SELECT ?b WHERE { ?b a <http://dbpedia.org/ontology/Film> ; <http://dbpedia.org/ontology/musicComposer> <http://dbpedia.org/resource/The_Beatles> } ","(Thing THAT ( http://www.w3.org/1999/02/22-rdf-syntax-ns#type SOME http://dbpedia.org/ontology/Film )) AND (Thing THAT ( http://dbpedia.org/ontology/musicComposer SOME http://dbpedia.org/resource/The_Beatles ))"
"SELECT ?s WHERE { ?s a <http://dbpedia.org/ontology/MusicalArtist> } ","(Thing THAT ( http://www.w3.org/1999/02/22-rdf-syntax-ns#type SOME http://dbpedia.org/ontology/MusicalArtist ))"
"SELECT ?name ?date WHERE { ?name <http://dbpedia.org/ontology/artist> <http://dbpedia.org/resource/The_Beatles> ; a <http://dbpedia.org/ontology/Album> ; <http://dbpedia.org/ontology/releaseDate> ?date } ","(Thing THAT ( http://dbpedia.org/ontology/artist SOME http://dbpedia.org/resource/The_Beatles )) AND (Thing THAT ( http://www.w3.org/1999/02/22-rdf-syntax-ns#type SOME http://dbpedia.org/ontology/Album )) AND (Thing THAT ( http://dbpedia.org/ontology/releaseDate SOME Thing ))"
"SELECT * WHERE { ?player <http://dbpedia.org/property/nationalteam> <http://dbpedia.org/resource/Germany_national_football_team> ; <http://dbpedia.org/property/currentclub> <http://dbpedia.org/resource/FC_Bayern_Munich> } ","(Thing THAT ( http://dbpedia.org/property/nationalteam SOME http://dbpedia.org/resource/Germany_national_football_team )) AND (Thing THAT ( http://dbpedia.org/property/currentclub SOME http://dbpedia.org/resource/FC_Bayern_Munich ))"
"SELECT ?shireCounty WHERE { <http://dbpedia.org/resource/Stewkley> <http://dbpedia.org/property/shireCounty> ?shireCounty } ","ObjectProperty: http://dbpedia.org/property/shireCountyInverse 
   inverseOf http://dbpedia.org/property/shireCounty
(Thing THAT (http://dbpedia.org/property/shireCountyInverse SOME http://dbpedia.org/resource/Stewkley))"
"SELECT ?s WHERE { <http://dbpedia.org/resource/Crown_Dependency_of_Forvik> a ?s } ","ObjectProperty: http://www.w3.org/1999/02/22-rdf-syntax-ns#typeInverse 
   inverseOf http://www.w3.org/1999/02/22-rdf-syntax-ns#type
(Thing THAT (http://www.w3.org/1999/02/22-rdf-syntax-ns#typeInverse SOME http://dbpedia.org/resource/Crown_Dependency_of_Forvik))"
"SELECT ?Person WHERE { ?Person <http://xmlns.com/foaf/0.1/name> ?date } ","(Thing THAT ( http://xmlns.com/foaf/0.1/name SOME Thing ))"
"SELECT ?places WHERE { { ?places <http://dbpedia.org/ontology/city> <http://dbpedia.org/resource/Munich> ; a <http://dbpedia.org/ontology/Building> } } ","(Thing THAT ( http://dbpedia.org/ontology/city SOME http://dbpedia.org/resource/Munich )) AND (Thing THAT ( http://www.w3.org/1999/02/22-rdf-syntax-ns#type SOME http://dbpedia.org/ontology/Building ))"
"SELECT ?band WHERE { ?band a <http://dbpedia.org/ontology/Band> } ","(Thing THAT ( http://www.w3.org/1999/02/22-rdf-syntax-ns#type SOME http://dbpedia.org/ontology/Band ))"
"SELECT ?x WHERE { <http://en.wikipedia.org/wiki/South_Korea> <http://xmlns.com/foaf/0.1/primaryTopic> ?x } ","ObjectProperty: http://xmlns.com/foaf/0.1/primaryTopicInverse 
   inverseOf http://xmlns.com/foaf/0.1/primaryTopic
(Thing THAT (http://xmlns.com/foaf/0.1/primaryTopicInverse SOME http://en.wikipedia.org/wiki/South_Korea))"
"SELECT ?cat ?cat1 ?sub WHERE { ?cat <http://www.w3.org/2004/02/skos/core#broader> <http://dbpedia.org/resource/Category:Buildings_and_structures_in_France> ; <http://www.w3.org/2004/02/skos/core#broader> <http://dbpedia.org/resource/Category:Visitor_attractions_in_France> } ","(Thing THAT ( http://www.w3.org/2004/02/skos/core#broader SOME http://dbpedia.org/resource/Category:Buildings_and_structures_in_France )) AND (Thing THAT ( http://www.w3.org/2004/02/skos/core#broader SOME http://dbpedia.org/resource/Category:Visitor_attractions_in_France ))"
"SELECT * WHERE { <http://dbpedia.org/resource/Antonio_Vivaldi> <http://dbpedia.org/property/filename> ?p } ","ObjectProperty: http://dbpedia.org/property/filenameInverse 
   inverseOf http://dbpedia.org/property/filename
(Thing THAT (http://dbpedia.org/property/filenameInverse SOME http://dbpedia.org/resource/Antonio_Vivaldi))"
"SELECT ?person ?description WHERE { ?person <http://www.w3.org/2000/01/rdf-schema#label> "Thomas MacGreevy"@en ; <http://www.w3.org/2000/01/rdf-schema#comment> ?description } ","(Thing THAT ( http://www.w3.org/2000/01/rdf-schema#label SOME "Thomas MacGreevy"@en )) AND (Thing THAT ( http://www.w3.org/2000/01/rdf-schema#comment SOME Thing ))"
"SELECT * WHERE { ?data a <http://dbpedia.org/ontology/FormulaOneRacer> . ?wins <http://dbpedia.org/ontology/wins> 10 } ","(Thing THAT ( http://www.w3.org/1999/02/22-rdf-syntax-ns#type SOME http://dbpedia.org/ontology/FormulaOneRacer ))"
"SELECT ?city ?timezone WHERE { ?city a <http://dbpedia.org/ontology/City> ; <http://dbpedia.org/property/timezone> ?timezone } ","(Thing THAT ( http://www.w3.org/1999/02/22-rdf-syntax-ns#type SOME http://dbpedia.org/ontology/City )) AND (Thing THAT ( http://dbpedia.org/property/timezone SOME Thing ))"
"SELECT * WHERE { ?motorway a <http://dbpedia.org/ontology/Road> } ","(Thing THAT ( http://www.w3.org/1999/02/22-rdf-syntax-ns#type SOME http://dbpedia.org/ontology/Road ))"
"SELECT ?x ?y WHERE { ?x ?y <http://dbpedia.org/resource/Bank> } ","(Thing THAT (topProperty SOME http://dbpedia.org/resource/Bank))"
"SELECT ?b WHERE { ?b a <http://dbpedia.org/ontology/Artist> . <http://dbpedia.org/resource/The_Da_Vinci_Code_%28film%29> <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Jean_Reno> ; <http://dbpedia.org/ontology/starring> ?b } ","ObjectProperty: http://dbpedia.org/ontology/starringInverse 
   inverseOf http://dbpedia.org/ontology/starring
(Thing THAT ( http://www.w3.org/1999/02/22-rdf-syntax-ns#type SOME http://dbpedia.org/ontology/Artist )) AND (Thing THAT (http://dbpedia.org/ontology/starringInverse SOME ((http://dbpedia.org/resource/The_Da_Vinci_Code_%28film%29 THAT ( http://dbpedia.org/ontology/starring SOME http://dbpedia.org/resource/Jean_Reno )))))"
"SELECT ?ville ?population ?personne WHERE { ?ville <http://dbpedia.org/property/population> ?population . ?personne <http://dbpedia.org/property/birthplace> ?ville ; <http://www.w3.org/2004/02/skos/core#subject> <http://dbpedia.org/resource/Category:French_film_directors> } ","ObjectProperty: http://dbpedia.org/property/birthplaceInverse 
   inverseOf http://dbpedia.org/property/birthplace
(Thing THAT ( http://dbpedia.org/property/population SOME Thing )) AND (Thing THAT (http://dbpedia.org/property/birthplaceInverse SOME ((Thing THAT ( http://www.w3.org/2004/02/skos/core#subject SOME http://dbpedia.org/resource/Category:French_film_directors )))))"
"SELECT ?s WHERE { <http://dbpedia.org/resource/Mogocha> a ?s } ","ObjectProperty: http://www.w3.org/1999/02/22-rdf-syntax-ns#typeInverse 
   inverseOf http://www.w3.org/1999/02/22-rdf-syntax-ns#type
(Thing THAT (http://www.w3.org/1999/02/22-rdf-syntax-ns#typeInverse SOME http://dbpedia.org/resource/Mogocha))"
"SELECT ?name ?weight ?birthdate WHERE { ?Person a <http://dbpedia.org/ontology/Model> ; <http://dbpedia.org/property/name> ?name ; <http://dbpedia.org/property/weight> ?weight ; <http://dbpedia.org/property/birthdate> ?birthdate } ","ObjectProperty: http://dbpedia.org/property/nameInverse 
   inverseOf http://dbpedia.org/property/name
(Thing THAT (http://dbpedia.org/property/nameInverse SOME ((Thing THAT ( http://www.w3.org/1999/02/22-rdf-syntax-ns#type SOME http://dbpedia.org/ontology/Model )) AND (Thing THAT ( http://dbpedia.org/property/weight SOME Thing )) AND (Thing THAT ( http://dbpedia.org/property/birthdate SOME Thing )))))"
"SELECT * WHERE { ?player <http://dbpedia.org/property/team> <http://dbpedia.org/resource/AC_Milan> } ","(Thing THAT ( http://dbpedia.org/property/team SOME http://dbpedia.org/resource/AC_Milan ))"
"SELECT ?x ?z WHERE { ?x <http://www.w3.org/2000/01/rdf-schema#label> ?z } ","(Thing THAT ( http://www.w3.org/2000/01/rdf-schema#label SOME Thing ))"
"SELECT * WHERE { ?person a <http://xmlns.com/foaf/0.1/Person> } ","(Thing THAT ( http://www.w3.org/1999/02/22-rdf-syntax-ns#type SOME http://xmlns.com/foaf/0.1/Person ))"
"SELECT ?shireCounty WHERE { <http://dbpedia.org/resource/Loughborough> <http://dbpedia.org/property/shireCounty> ?shireCounty } ","ObjectProperty: http://dbpedia.org/property/shireCountyInverse 
   inverseOf http://dbpedia.org/property/shireCounty
(Thing THAT (http://dbpedia.org/property/shireCountyInverse SOME http://dbpedia.org/resource/Loughborough))"
"SELECT ?s WHERE { <http://dbpedia.org/resource/Partizansk> a ?s } ","ObjectProperty: http://www.w3.org/1999/02/22-rdf-syntax-ns#typeInverse 
   inverseOf http://www.w3.org/1999/02/22-rdf-syntax-ns#type
(Thing THAT (http://www.w3.org/1999/02/22-rdf-syntax-ns#typeInverse SOME http://dbpedia.org/resource/Partizansk))"
"SELECT * WHERE { <http://dbpedia.org/resource/Scottish_Parliament_election%2C_2003> <http://dbpedia.org/property/party> ?value ; <http://dbpedia.org/property/leader> ?l } ","ObjectProperty: http://dbpedia.org/property/partyInverse 
   inverseOf http://dbpedia.org/property/party
(Thing THAT (http://dbpedia.org/property/partyInverse SOME ((http://dbpedia.org/resource/Scottish_Parliament_election%2C_2003 THAT ( http://dbpedia.org/property/leader SOME Thing )))))"
"SELECT * WHERE { <http://dbpedia.org/resource/1_Hanover_Square> ?property ?value . ?property <http://www.w3.org/2000/01/rdf-schema#label> ?label } ","((topProperty SOME Thing)) AND (topProperty THAT ( http://www.w3.org/2000/01/rdf-schema#label SOME Thing ))"
"SELECT ?film ?person WHERE { ?film <http://dbpedia.org/ontology/director> ?person } ","(Thing THAT ( http://dbpedia.org/ontology/director SOME Thing ))"
"SELECT ?ville ?population ?personne WHERE { ?ville <http://dbpedia.org/property/population> ?population . ?personne <http://dbpedia.org/property/birthplace> ?ville ; <http://www.w3.org/2004/02/skos/core#subject> <http://dbpedia.org/resource/Category:French_composers> } ","ObjectProperty: http://dbpedia.org/property/birthplaceInverse 
   inverseOf http://dbpedia.org/property/birthplace
(Thing THAT ( http://dbpedia.org/property/population SOME Thing )) AND (Thing THAT (http://dbpedia.org/property/birthplaceInverse SOME ((Thing THAT ( http://www.w3.org/2004/02/skos/core#subject SOME http://dbpedia.org/resource/Category:French_composers )))))"
"SELECT * WHERE { <http://dbpedia.org/resource/Michael_Jackson> <http://xmlns.com/foaf/0.1/name> ?name ; <http://xmlns.com/foaf/0.1/surname> ?surname } ","ObjectProperty: http://xmlns.com/foaf/0.1/nameInverse 
   inverseOf http://xmlns.com/foaf/0.1/name
(Thing THAT (http://xmlns.com/foaf/0.1/nameInverse SOME ((http://dbpedia.org/resource/Michael_Jackson THAT ( http://xmlns.com/foaf/0.1/surname SOME Thing )))))"
"SELECT ?nome ?nascimento WHERE { <http://dbpedia.org/resource/Chris_Cooper_%28actor%29> <http://dbpedia.org/property/birthdate> ?nascimento ; <http://xmlns.com/foaf/0.1/name> ?nome } ","ObjectProperty: http://xmlns.com/foaf/0.1/nameInverse 
   inverseOf http://xmlns.com/foaf/0.1/name
(Thing THAT (http://xmlns.com/foaf/0.1/nameInverse SOME ((http://dbpedia.org/resource/Chris_Cooper_%28actor%29 THAT ( http://dbpedia.org/property/birthdate SOME Thing )))))"
"SELECT ?p WHERE { <http://dbpedia.org/resource/The_Compleat_Beatles> ?p <http://dbpedia.org/ontology/Film> } ","ObjectProperty: topPropertyInverse 
   inverseOf topProperty
((topProperty SOME http://dbpedia.org/ontology/Film) AND (topPropertyInverse SOME http://dbpedia.org/resource/The_Compleat_Beatles))"
"SELECT ?cat ?sub WHERE { ?cat <http://www.w3.org/2004/02/skos/core#broader> <http://dbpedia.org/resource/Category:Palaces_in_France> . ?sub <http://www.w3.org/2004/02/skos/core#subject> ?cat . ?m <http://dbpedia.org/property/museum> ?sub . ?sub <http://dbpedia.org/ontology/abstract> ?abstract } ","ObjectProperty: http://www.w3.org/2004/02/skos/core#subjectInverse 
   inverseOf http://www.w3.org/2004/02/skos/core#subject
(Thing THAT ( http://www.w3.org/2004/02/skos/core#broader SOME http://dbpedia.org/resource/Category:Palaces_in_France )) AND (Thing THAT (http://www.w3.org/2004/02/skos/core#subjectInverse SOME ((Thing THAT ( http://dbpedia.org/ontology/abstract SOME Thing )))))"
"SELECT ?s WHERE { <http://dbpedia.org/resource/Kozelsk> a ?s } ","ObjectProperty: http://www.w3.org/1999/02/22-rdf-syntax-ns#typeInverse 
   inverseOf http://www.w3.org/1999/02/22-rdf-syntax-ns#type
(Thing THAT (http://www.w3.org/1999/02/22-rdf-syntax-ns#typeInverse SOME http://dbpedia.org/resource/Kozelsk))"
"SELECT ?y ?z WHERE { <http://dbpedia.org/resource/Warren_Buffett> <http://dbpedia.org/ontology/occupation> ?y } ","ObjectProperty: http://dbpedia.org/ontology/occupationInverse 
   inverseOf http://dbpedia.org/ontology/occupation
(Thing THAT (http://dbpedia.org/ontology/occupationInverse SOME http://dbpedia.org/resource/Warren_Buffett))"
"SELECT ?name WHERE { ?spacecraft <http://xmlns.com/foaf/0.1/name> ?name } ","ObjectProperty: http://xmlns.com/foaf/0.1/nameInverse 
   inverseOf http://xmlns.com/foaf/0.1/name
(Thing THAT (http://xmlns.com/foaf/0.1/nameInverse SOME Thing))"
"SELECT ?ville ?population ?personne WHERE { ?ville <http://dbpedia.org/property/population> ?population . ?personne <http://dbpedia.org/property/birthplace> ?ville ; <http://www.w3.org/2004/02/skos/core#subject> <http://dbpedia.org/resource/Category:Austrian_composers> } ","ObjectProperty: http://dbpedia.org/property/birthplaceInverse 
   inverseOf http://dbpedia.org/property/birthplace
(Thing THAT ( http://dbpedia.org/property/population SOME Thing )) AND (Thing THAT (http://dbpedia.org/property/birthplaceInverse SOME ((Thing THAT ( http://www.w3.org/2004/02/skos/core#subject SOME http://dbpedia.org/resource/Category:Austrian_composers )))))"
"SELECT ?place WHERE { ?place <http://dbpedia.org/property/industry> <http://dbpedia.org/resource/Restaurant> } ","(Thing THAT ( http://dbpedia.org/property/industry SOME http://dbpedia.org/resource/Restaurant ))"
"SELECT ?property ?isValueOf WHERE { { ?isValueOf ?property <http://dbpedia.org/ontology/MusicalArtist> } } ","((topProperty SOME http://dbpedia.org/ontology/MusicalArtist))"
"SELECT ?state ?lat ?long WHERE { ?state <http://www.w3.org/2004/02/skos/core#subject> <http://dbpedia.org/resource/Category:Visitor_attractions_in_Zimbabwe> ; <http://www.w3.org/2003/01/geo/wgs84_pos#lat> ?lat ; <http://www.w3.org/2003/01/geo/wgs84_pos#long> ?long } ","(Thing THAT ( http://www.w3.org/2004/02/skos/core#subject SOME http://dbpedia.org/resource/Category:Visitor_attractions_in_Zimbabwe )) AND (Thing THAT ( http://www.w3.org/2003/01/geo/wgs84_pos#lat SOME Thing )) AND (Thing THAT ( http://www.w3.org/2003/01/geo/wgs84_pos#long SOME Thing ))"
"SELECT * WHERE { { ?x a <http://dbpedia.org/ontology/Planet> } } ","(Thing THAT ( http://www.w3.org/1999/02/22-rdf-syntax-ns#type SOME http://dbpedia.org/ontology/Planet ))"
"SELECT * WHERE { <http://dbpedia.org/resource/Khalid_Sheikh_Mohammed> <http://www.w3.org/2004/02/skos/core#subject> ?subj } ","ObjectProperty: http://www.w3.org/2004/02/skos/core#subjectInverse 
   inverseOf http://www.w3.org/2004/02/skos/core#subject
(Thing THAT (http://www.w3.org/2004/02/skos/core#subjectInverse SOME http://dbpedia.org/resource/Khalid_Sheikh_Mohammed))"
"SELECT ?s WHERE { <http://dbpedia.org/resource/Yuzhno-Sukhokumsk> a ?s } ","ObjectProperty: http://www.w3.org/1999/02/22-rdf-syntax-ns#typeInverse 
   inverseOf http://www.w3.org/1999/02/22-rdf-syntax-ns#type
(Thing THAT (http://www.w3.org/1999/02/22-rdf-syntax-ns#typeInverse SOME http://dbpedia.org/resource/Yuzhno-Sukhokumsk))"
"SELECT ?name ?movie WHERE { ?name a <http://dbpedia.org/ontology/Actor> } ","(Thing THAT ( http://www.w3.org/1999/02/22-rdf-syntax-ns#type SOME http://dbpedia.org/ontology/Actor ))"
"SELECT ?x ?y WHERE { ?x <http://dbpedia.org/property/author> ?y } ","(Thing THAT ( http://dbpedia.org/property/author SOME Thing ))"
"SELECT ?s WHERE { <http://dbpedia.org/resource/Aksay> a ?s } ","ObjectProperty: http://www.w3.org/1999/02/22-rdf-syntax-ns#typeInverse 
   inverseOf http://www.w3.org/1999/02/22-rdf-syntax-ns#type
(Thing THAT (http://www.w3.org/1999/02/22-rdf-syntax-ns#typeInverse SOME http://dbpedia.org/resource/Aksay))"
"SELECT ?name ?birth ?person WHERE { ?person <http://dbpedia.org/property/birthPlace> <http://dbpedia.org/resource/France> ; <http://dbpedia.org/ontology/birthDate> ?birth ; <http://xmlns.com/foaf/0.1/name> ?name } ","ObjectProperty: http://xmlns.com/foaf/0.1/nameInverse 
   inverseOf http://xmlns.com/foaf/0.1/name
(Thing THAT (http://xmlns.com/foaf/0.1/nameInverse SOME ((Thing THAT ( http://dbpedia.org/property/birthPlace SOME http://dbpedia.org/resource/France )) AND (Thing THAT ( http://dbpedia.org/ontology/birthDate SOME Thing )))))"
"SELECT ?s WHERE { <http://dbpedia.org/resource/Isle_Martin> a ?s } ","ObjectProperty: http://www.w3.org/1999/02/22-rdf-syntax-ns#typeInverse 
   inverseOf http://www.w3.org/1999/02/22-rdf-syntax-ns#type
(Thing THAT (http://www.w3.org/1999/02/22-rdf-syntax-ns#typeInverse SOME http://dbpedia.org/resource/Isle_Martin))"
"SELECT ?abstract WHERE { <http://dbpedia.org/resource/Bruce_Springsteen> <http://dbpedia.org/ontology/alias> ?abstract } ","ObjectProperty: http://dbpedia.org/ontology/aliasInverse 
   inverseOf http://dbpedia.org/ontology/alias
(Thing THAT (http://dbpedia.org/ontology/aliasInverse SOME http://dbpedia.org/resource/Bruce_Springsteen))"
"SELECT * WHERE { ?id <http://dbpedia.org/ontology/starring> ?starring ; <http://dbpedia.org/ontology/director> ?director ; a <http://dbpedia.org/ontology/Film> ; <http://dbpedia.org/ontology/imdbId> ?imdb_id } ","(Thing THAT ( http://dbpedia.org/ontology/starring SOME Thing )) AND (Thing THAT ( http://dbpedia.org/ontology/director SOME Thing )) AND (Thing THAT ( http://www.w3.org/1999/02/22-rdf-syntax-ns#type SOME http://dbpedia.org/ontology/Film )) AND (Thing THAT ( http://dbpedia.org/ontology/imdbId SOME Thing_id ))"
"SELECT ?b ?c WHERE { ?b a <http://dbpedia.org/ontology/MusicalArtist> . ?c a <http://dbpedia.org/ontology/Film> . ?b <http://dbpedia.org/ontology/associatedBand> <http://dbpedia.org/resource/The_Beatles> . ?c <http://dbpedia.org/ontology/musicComposer> <http://dbpedia.org/resource/The_Beatles> } ","(Thing THAT ( http://www.w3.org/1999/02/22-rdf-syntax-ns#type SOME http://dbpedia.org/ontology/MusicalArtist )) AND (Thing THAT ( http://dbpedia.org/ontology/associatedBand SOME http://dbpedia.org/resource/The_Beatles ))"
"SELECT ?s WHERE { <http://dbpedia.org/resource/Spassk-Dalny> a ?s } ","ObjectProperty: http://www.w3.org/1999/02/22-rdf-syntax-ns#typeInverse 
   inverseOf http://www.w3.org/1999/02/22-rdf-syntax-ns#type
(Thing THAT (http://www.w3.org/1999/02/22-rdf-syntax-ns#typeInverse SOME http://dbpedia.org/resource/Spassk-Dalny))"
"SELECT ?s WHERE { ?s a <http://dbpedia.org/ontology/Film> } ","(Thing THAT ( http://www.w3.org/1999/02/22-rdf-syntax-ns#type SOME http://dbpedia.org/ontology/Film ))"
"SELECT ?b ?c WHERE { ?b a <http://dbpedia.org/ontology/Film> . ?c a <http://dbpedia.org/ontology/Artist> . ?b <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Clint_Eastwood> ; <http://dbpedia.org/ontology/starring> ?c } ","(Thing THAT ( http://www.w3.org/1999/02/22-rdf-syntax-ns#type SOME http://dbpedia.org/ontology/Film )) AND (Thing THAT ( http://dbpedia.org/ontology/director SOME http://dbpedia.org/resource/Clint_Eastwood )) AND (Thing THAT (http://dbpedia.org/ontology/starring SOME ((Thing THAT ( http://www.w3.org/1999/02/22-rdf-syntax-ns#type SOME http://dbpedia.org/ontology/Artist )))))"
"SELECT * WHERE { ?city <http://www.w3.org/2000/01/rdf-schema#label> "Munich"@en ; a ?type } ","(Thing THAT ( http://www.w3.org/2000/01/rdf-schema#label SOME "Munich"@en )) AND (Thing THAT ( http://www.w3.org/1999/02/22-rdf-syntax-ns#type SOME Thing ))"
"SELECT * WHERE { ?motorway a <http://dbpedia.org/ontology/Road> ; <http://dbpedia.org/ontology/length> ?length ; <http://xmlns.com/foaf/0.1/name> ?name } ","(Thing THAT ( http://www.w3.org/1999/02/22-rdf-syntax-ns#type SOME http://dbpedia.org/ontology/Road )) AND (Thing THAT ( http://dbpedia.org/ontology/length SOME Thing )) AND (Thing THAT ( http://xmlns.com/foaf/0.1/name SOME Thing ))"
"SELECT ?titulo WHERE { ?x a <http://dbpedia.org/ontology/Film> ; <http://xmlns.com/foaf/0.1/name> ?titulo } ","ObjectProperty: http://xmlns.com/foaf/0.1/nameInverse 
   inverseOf http://xmlns.com/foaf/0.1/name
(Thing THAT (http://xmlns.com/foaf/0.1/nameInverse SOME ((Thing THAT ( http://www.w3.org/1999/02/22-rdf-syntax-ns#type SOME http://dbpedia.org/ontology/Film )))))"
"SELECT ?ville ?population ?personne WHERE { ?ville <http://dbpedia.org/property/population> ?population . ?personne <http://dbpedia.org/property/birthplace> ?ville ; <http://www.w3.org/2004/02/skos/core#subject> <http://dbpedia.org/resource/Category:English_composers> } ","ObjectProperty: http://dbpedia.org/property/birthplaceInverse 
   inverseOf http://dbpedia.org/property/birthplace
(Thing THAT ( http://dbpedia.org/property/population SOME Thing )) AND (Thing THAT (http://dbpedia.org/property/birthplaceInverse SOME ((Thing THAT ( http://www.w3.org/2004/02/skos/core#subject SOME http://dbpedia.org/resource/Category:English_composers )))))"
"SELECT * WHERE { ?x <http://www.w3.org/2000/01/rdf-schema#label> "Fred Durst"@en } ","(Thing THAT ( http://www.w3.org/2000/01/rdf-schema#label SOME "Fred Durst"@en ))"
"SELECT * WHERE { ?airport a <http://dbpedia.org/ontology/Airport> ; <http://dbpedia.org/ontology/iataLocationIdentifier> "IAD"@en } ","(Thing THAT ( http://www.w3.org/1999/02/22-rdf-syntax-ns#type SOME http://dbpedia.org/ontology/Airport )) AND (Thing THAT ( http://dbpedia.org/ontology/iataLocationIdentifier SOME "IAD"@en ))"
"SELECT ?s WHERE { <http://dbpedia.org/resource/Desnogorsk> a ?s } ","ObjectProperty: http://www.w3.org/1999/02/22-rdf-syntax-ns#typeInverse 
   inverseOf http://www.w3.org/1999/02/22-rdf-syntax-ns#type
(Thing THAT (http://www.w3.org/1999/02/22-rdf-syntax-ns#typeInverse SOME http://dbpedia.org/resource/Desnogorsk))"
"SELECT * WHERE { ?artist a <http://dbpedia.org/ontology/MusicalArtist> } ","(Thing THAT ( http://www.w3.org/1999/02/22-rdf-syntax-ns#type SOME http://dbpedia.org/ontology/MusicalArtist ))"
"SELECT * WHERE { ?stuff <http://dbpedia.org/property/name> ?name ; <http://xmlns.com/foaf/0.1/page> ?page ; <http://dbpedia.org/property/linelength> ?value } ","(Thing THAT ( http://dbpedia.org/property/name SOME Thing )) AND (Thing THAT ( http://xmlns.com/foaf/0.1/page SOME Thing )) AND (Thing THAT ( http://dbpedia.org/property/linelength SOME Thing ))"
"SELECT ?Who ?a ?b WHERE { ?Who <http://www.w3.org/2000/01/rdf-schema#label> "Japan"@en ; ?a ?b } ","(Thing THAT ( http://www.w3.org/2000/01/rdf-schema#label SOME "Japan"@en )) AND (Thing THAT (topProperty SOME Thing))"
